"box_file","home_away","minutes","fgm","fga","3pm","3pa","ftm","fta","dreb","oreb","pf","stl","tover","blk"
"189081.html","home","225","27","61","5","19","19","29","17","33","17","6","22","2"
"189082.html","away","200","20","65","4","18","9","22","8","19","18","11","9","2"
"189082.html","home","200","30","58","14","23","14","20","8","35","21","4","21","11"
"189083.html","away","200","23","61","5","19","12","16","9","18","10","6","11","1"
"189083.html","home","200","26","50","8","20","5","5","5","26","16","6","20","7"
"189084.html","away","200","26","53","11","28","14","17","6","21","19","9","21","3"
"189084.html","home","200","31","71","6","21","11","14","15","20","19","11","15","3"
"189085.html","away","200","8","55","4","26","6","7","8","18","16","6","20","1"
"189085.html","home","200","31","61","11","29","11","17","12","32","11","12","13","11"
"189086.html","away","200","25","74","5","29","12","17","14","29","22","8","15","1"
"189086.html","home","200","31","65","5","25","18","23","8","33","15","5","14","8"
"189087.html","away","200","28","60","7","26","6","10","12","13","20","8","16","5"
"189087.html","home","200","31","57","5","14","10","17","13","20","15","10","18","5"
"189088.html","away","200","30","73","11","29","3","8","10","25","9","3","21","0"
"189088.html","home","200","45","87","13","35","7","11","15","33","8","15","10","7"
"189089.html","away","200","21","58","8","25","14","18","5","15","20","2","18","1"
"189089.html","home","200","36","66","6","20","19","21","12","30","21","8","13","10"
"189090.html","away","200","23","56","7","22","12","16","13","24","19","7","18","3"
"189090.html","home","200","26","60","5","21","17","25","17","20","16","7","13","2"
"189091.html","away","200","13","45","4","12","11","19","5","23","21","4","21","3"
"189091.html","home","200","20","54","7","21","23","35","12","25","22","9","12","5"
"189092.html","away","200","24","69","6","30","8","11","15","27","14","9","14","6"
"189092.html","home","200","28","65","5","15","9","13","8","31","14","11","11","5"
"189093.html","away","200","22","56","5","19","5","10","4","31","10","4","13","2"
"189093.html","home","200","26","71","11","31","5","12","13","28","14","8","7","7"
"189094.html","away","200","21","57","3","17","3","8","5","19","12","3","14","3"
"189094.html","home","200","35","63","4","16","8","10","5","31","11","7","8","1"
"189095.html","away","200","12","49","4","21","11","18","7","27","17","3","28","3"
"189095.html","home","200","36","75","6","27","12","17","12","30","21","16","7","2"
"189096.html","away","200","20","64","7","30","7","10","4","18","16","9","17","3"
"189096.html","home","200","36","69","12","30","13","16","12","38","14","9","17","4"
"189097.html","away","225","30","61","6","20","16","22","6","28","22","10","15","9"
"189097.html","home","225","27","71","7","16","20","23","13","26","19","5","13","6"
"189098.html","away","201","23","55","12","25","8","9","11","35","18","8","16","2"
"189098.html","home","200","16","55","6","26","9","19","9","19","11","6","11","6"
"189099.html","away","200","17","66","3","24","17","21","17","23","14","9","17","1"
"189099.html","home","200","29","58","7","20","7","15","7","29","21","11","17","5"
"189100.html","away","200","22","60","3","21","8","13","7","26","14","5","17","2"
"189100.html","home","200","33","63","12","25","4","11","10","37","16","9","15","7"
"189101.html","away","200","24","69","7","25","11","15","7","27","24","6","21","0"
"189101.html","home","200","40","73","9","25","21","34","10","37","17","16","14","7"
"189102.html","away","200","20","62","9","40","10","14","7","23","20","5","19","7"
"189102.html","home","200","25","60","1","13","20","27","15","28","13","8","13","2"
"189103.html","away","200","7","49","2","14","9","11","12","19","12","2","31","0"
